Quarter,Time,Down,ToGo,Location,Detail,MIA,NYJ,EPB,EPA
4,9:19,3,10,MIA 25,Ryan Tannehill pass incomplete deep left intended for Albert Wilson,20,9,-0.620,-1.700
4,9:13,4,10,MIA 25,Matt Haack punts 55 yards returned by Andre Roberts for 4 yards (tackle by Brandon Bolden). Penalty on Charone Peake: Illegal Block Above the Waist 10 yards,20,9,-1.700,0.280
4,9:01,1,10,NYJ 14,Isaiah Crowell right end for 2 yards (tackle by Kiko Alonso),20,9,-0.280,-0.510
4,8:27,2,8,NYJ 16,Sam Darnold pass complete short left to Quincy Enunwa for 11 yards (tackle by Kiko Alonso). Quincy Enunwa fumbles (forced by Kiko Alonso) recovered by Quincy Enunwa at NYJ-27,20,9,-0.510,0.740
4,7:55,1,10,NYJ 27,Sam Darnold pass complete deep left to Terrelle Pryor for 17 yards (tackle by Bobby McCain),20,9,0.740,1.860
4,7:31,1,10,NYJ 44,Isaiah Crowell middle for 3 yards (tackle by Kiko Alonso),20,9,1.860,1.720
4,7:07,2,7,NYJ 47,Sam Darnold pass complete short left to Isaiah Crowell for 7 yards (tackle by Vincent Taylor),20,9,1.720,2.520
4,6:43,1,10,MIA 46,Sam Darnold pass complete short middle to Bilal Powell for 23 yards (tackle by Kiko Alonso),20,9,2.520,4.040
4,6:13,1,10,MIA 23,Sam Darnold pass incomplete short left intended for Terrelle Pryor,20,9,4.040,3.500
4,6:09,2,10,MIA 23,Sam Darnold pass incomplete deep right intended for Robby Anderson,20,9,3.500,2.810
4,6:05,3,10,MIA 23,Sam Darnold pass incomplete short left intended for Bilal Powell,20,9,2.810,1.930
4,6:00,4,10,MIA 23,Jason Myers 41 yard field goal good,20,12,1.930,3.000
4,5:56,,,NYJ 35,Jason Myers kicks off 65 yards touchback,20,12,0.000,-0.610
4,5:56,1,10,MIA 25,Kenyan Drake middle for 20 yards (tackle by Jamal Adams and Nathan Shepherd),20,12,0.610,1.930
4,5:14,1,10,MIA 45,Frank Gore middle for 5 yards (tackle by Jamal Adams),20,12,1.930,2.060
4,4:34,2,5,50,Ryan Tannehill left end for 14 yards (tackle by Brandon Copeland),20,12,2.060,3.180
4,3:50,1,10,NYJ 36,Kenyan Drake right end for -7 yards (tackle by Morris Claiborne),20,12,3.180,1.690
4,3:41,2,17,NYJ 43,Kenyan Drake right tackle for -2 yards (tackle by Leonard Williams),20,12,1.690,0.760
4,3:36,,,,Timeout #1 by New York Jets,20,12,,
4,3:36,,,,Timeout #1 by Miami Dolphins,20,12,,
4,3:36,3,19,NYJ 45,Ryan Tannehill pass complete short left to Frank Gore for 19 yards (tackle by Doug Middleton),20,12,0.760,3.840
4,2:49,1,10,NYJ 26,Frank Gore middle for 4 yards (tackle by Avery Williamson),20,12,3.840,3.840
4,2:44,,,,Timeout #2 by New York Jets,20,12,,
4,2:44,2,6,NYJ 22,Frank Gore middle for no gain (tackle by Darron Lee),20,12,3.840,3.140
4,2:39,,,,Timeout #3 by New York Jets,20,12,,
4,2:39,3,6,NYJ 22,Ryan Tannehill right tackle for 8 yards,20,12,3.140,4.650
4,2:00,1,10,NYJ 14,Ryan Tannehill kneels for -1 yards,20,12,4.650,3.850
4,1:20,2,11,NYJ 15,Ryan Tannehill kneels for -1 yards,20,12,3.850,3.000
4,0:39,3,12,NYJ 16,Ryan Tannehill kneels for -1 yards,20,12,3.000,2.310
