Quarter,Time,Down,ToGo,Location,Detail,CLE,OAK,EPB,EPA
4,2:34,1,10,CLE 11,Derek Carr pass complete short left to Amari Cooper for 5 yards (tackle by T.J. Carrie and Joe Schobert),42,34,4.840,5.080
4,2:04,2,5,CLE 6,Derek Carr pass complete short left to Martavis Bryant for -3 yards (tackle by T.J. Carrie),42,34,5.080,3.530
4,1:58,3,8,CLE 9,Derek Carr pass incomplete short left intended for Jordy Nelson (defended by Damarious Randall),42,34,3.530,2.830
4,1:54,4,8,CLE 9,Derek Carr pass incomplete short right intended for Amari Cooper,42,34,2.830,0.380
4,1:51,1,10,CLE 9,Carlos Hyde middle for 6 yards (tackle by Marquel Lee and Marcus Gilchrist),42,34,-0.380,-0.280
4,1:44,,,,Timeout #1 by Oakland Raiders,42,34,,
4,1:44,2,4,CLE 15,Carlos Hyde middle for 2 yards (tackle by Maurice Hurst and Marquel Lee),42,34,-0.280,-0.480
4,1:41,,,,Timeout #2 by Oakland Raiders,42,34,,
4,1:41,3,2,CLE 17,Carlos Hyde middle for 1 yard (tackle by Derrick Johnson and Tahir Whitehead),42,34,-0.480,-2.240
4,1:38,,,,Timeout #3 by Oakland Raiders,42,34,,
4,1:38,4,1,CLE 18,Britton Colquitt punts 49 yards returned by Dwayne Harris for 14 yards (tackle by Nick Chubb),42,34,-2.240,-2.060
4,1:28,1,10,RAI 47,Derek Carr pass complete short left to Jordy Nelson for 5 yards (tackle by T.J. Carrie),42,34,2.060,2.190
4,1:24,2,5,CLE 48,Derek Carr pass complete short left to Jalen Richard for 4 yards (tackle by Christian Kirksey and T.J. Carrie),42,34,2.190,2.020
4,1:03,3,1,CLE 44,Derek Carr pass incomplete deep right intended for Jordy Nelson. Penalty on Briean Boddy-Calhoun: Defensive Holding 5 yards (no play),42,34,2.020,2.980
4,0:57,1,10,CLE 39,Derek Carr pass complete short middle to Jared Cook for 19 yards (tackle by Damarious Randall),42,34,2.980,4.240
4,0:42,1,10,CLE 20,Derek Carr spiked the ball,42,34,4.240,3.690
4,0:42,2,10,CLE 20,Penalty on Jalen Richard: False Start 5 yards (no play),42,34,3.690,3.020
4,0:42,2,15,CLE 25,Derek Carr pass complete short middle to Jalen Richard for 18 yards (tackle by Joe Schobert),42,34,3.020,5.600
4,0:34,1,7,CLE 7,Derek Carr pass complete short left to Jared Cook for 7 yards touchdown,42,40,5.600,7.000
4,0:30,,,CLE 2,Two Point Attempt: Derek Carr pass complete to Jordy Nelson conversion succeeds,42,42,0.000,1.000
4,0:30,,,RAI 35,Matthew McCrane kicks off 65 yards touchback. Penalty on Derrick Kindred: Illegal Formation (Declined),42,42,0.000,-0.610
4,0:30,1,10,CLE 25,Baker Mayfield pass complete short middle to David Njoku for 11 yards (tackle by Tahir Whitehead),42,42,0.610,1.330
4,0:23,,,,Timeout #1 by Cleveland Browns,42,42,,
4,0:23,1,10,CLE 36,Baker Mayfield pass complete short left to Duke Johnson for 15 yards (tackle by Tahir Whitehead),42,42,1.330,2.320
4,0:14,,,,Timeout #2 by Cleveland Browns,42,42,,
4,0:14,1,10,RAI 49,Baker Mayfield pass incomplete deep left intended for Antonio Callaway is intercepted by Reggie Nelson at OAK-14,42,42,2.320,0.280
4,0:07,1,10,RAI 14,Derek Carr kneels for -1 yards,42,42,-0.280,-0.850
OT,10:00,,,CLE 35,Greg Joseph kicks off 65 yards touchback,42,42,0.000,-0.610
OT,10:00,1,10,RAI 25,Derek Carr pass complete short right to Marshawn Lynch for 3 yards (tackle by Denzel Ward),42,42,0.610,0.470
OT,9:27,2,7,RAI 28,Marshawn Lynch middle for 1 yard (tackle by Myles Garrett),42,42,0.470,-0.100
OT,8:49,3,6,RAI 29,Derek Carr pass complete deep left to Amari Cooper for 36 yards (tackle by T.J. Carrie),42,42,-0.100,3.250
OT,8:13,1,10,CLE 35,Jalen Richard left end for -2 yards (tackle by Myles Garrett and T.J. Carrie),42,42,3.250,2.430
OT,7:36,2,12,CLE 37,Derek Carr pass complete short right to Jared Cook for 9 yards (tackle by Briean Boddy-Calhoun and Denzel Ward),42,42,2.430,2.940
OT,6:56,,,,Timeout #1 by Oakland Raiders,42,42,,
OT,6:56,3,3,CLE 28,Derek Carr sacked by Jamie Collins for -4 yards,42,42,2.940,1.240
OT,6:14,,,,Timeout #2 by Oakland Raiders,42,42,,
OT,6:14,4,7,CLE 32,Matthew McCrane 50 yard field goal no good,42,42,1.240,-1.600
OT,6:10,1,10,CLE 40,Baker Mayfield pass incomplete short left intended for Carlos Hyde,42,42,1.600,1.050
OT,6:06,2,10,CLE 40,Baker Mayfield pass complete short left to David Njoku for 5 yards (tackle by Dominique Rodgers-Cromartie),42,42,1.050,1.030
OT,5:47,3,5,CLE 45,Baker Mayfield pass incomplete deep right intended for Duke Johnson (defended by Rashaan Melvin),42,42,1.030,-0.390
OT,5:39,4,5,CLE 45,Britton Colquitt punts 48 yards returned by Dwayne Harris for 12 yards (tackle by Duke Johnson),42,42,-0.390,-0.150
OT,5:27,1,10,RAI 19,Derek Carr pass incomplete short middle intended for Jared Cook,42,42,0.150,-0.390
