Quarter,Time,Down,ToGo,Location,Detail,GNB,NYJ,EPB,EPA
3,0:28,4,21,GNB 44,JK Scott punts 24 yards muffed catch by Christopher Herndon ball out of bounds at NYJ-21,20,35,-0.460,-0.340
3,0:18,1,10,NYJ 21,Sam Darnold pass complete short left to Trenton Cannon for 5 yards (tackle by Josh Jones),20,35,0.340,0.480
4,15:00,2,5,NYJ 26,Trenton Cannon for 2 yards (tackle by Josh Jones),20,35,0.480,0.040
4,14:55,3,3,NYJ 28,Sam Darnold sacked by Blake Martinez for -8 yards,20,35,0.040,-2.030
4,14:17,4,11,NYJ 20,Lac Edwards punts 41 yards fair catch by Tramon Williams,20,35,-2.030,-1.530
4,14:11,1,10,GNB 39,Aaron Rodgers sacked by Neville Hewitt for -9 yards,20,35,1.530,-0.230
4,13:31,2,19,GNB 30,Aaron Rodgers pass complete short left to Davante Adams for 8 yards (tackle by Jamal Adams),20,35,-0.230,0.170
4,12:53,3,11,GNB 38,Aaron Rodgers pass complete deep left to Marquez Valdes-Scantling for 42 yards (tackle by Avery Williamson and Morris Claiborne),20,35,0.170,4.240
4,12:04,1,10,NYJ 20,Aaron Rodgers pass incomplete deep middle intended for Davante Adams,20,35,4.240,3.690
4,11:59,2,10,NYJ 20,Aaron Rodgers pass incomplete short left intended for Davante Adams,20,35,3.690,3.010
4,11:55,3,10,NYJ 20,Aaron Rodgers pass incomplete short left intended for Marquez Valdes-Scantling,20,35,3.010,2.120
4,11:49,4,10,NYJ 20,Mason Crosby 38 yard field goal good,23,35,2.120,3.000
4,11:45,,,GNB 35,Mason Crosby kicks off 65 yards touchback,23,35,0.000,-0.610
4,11:45,1,10,NYJ 25,Sam Darnold pass complete short right to Robby Anderson for 12 yards (tackle by Tony Brown),23,35,0.610,1.400
4,11:06,1,10,NYJ 37,Elijah McGuire left end for 15 yards (tackle by Kyler Fackrell). Penalty on Brent Qvale: Chop Block 15 yards Penalty on Eric Tomlinson: Offensive Holding (Declined) (no play),23,35,1.400,0.410
4,10:37,1,25,NYJ 22,Sam Darnold pass complete deep left to Robby Anderson for 20 yards (tackle by Bashaud Breeland),23,35,0.410,1.530
