Quarter,Time,Down,ToGo,Location,Detail,PIT,CLE,EPB,EPA
4,8:42,1,10,PIT 47,Tyrod Taylor pass incomplete short left intended for Duke Johnson. Penalty on Desmond Harrison: Illegal Formation (Declined),21,7,2.460,1.910
4,8:39,2,10,PIT 47,Tyrod Taylor pass incomplete short right intended for Jarvis Landry (defended by Mike Hilton),21,7,1.910,1.220
4,8:33,3,10,PIT 47,Tyrod Taylor for 24 yards,21,7,1.220,4.040
4,8:09,1,10,PIT 23,Tyrod Taylor pass incomplete deep right intended for Rashard Higgins (defended by Cameron Sutton),21,7,4.040,3.500
4,8:03,2,10,PIT 23,Tyrod Taylor pass incomplete short left intended for Antonio Callaway,21,7,3.500,2.810
4,7:58,3,10,PIT 23,Tyrod Taylor pass incomplete short left intended for Duke Johnson (defended by Bud Dupree),21,7,2.810,1.930
4,7:55,4,10,PIT 23,Tyrod Taylor pass complete short middle to Tyrod Taylor for -5 yards (tackle by Tyson Alualu). Penalty on Bud Dupree: Defensive Offside 5 yards (no play),21,7,1.930,2.300
4,7:49,,,,Timeout #2 by Pittsburgh Steelers,21,7,,
4,7:49,4,5,PIT 18,Tyrod Taylor pass incomplete deep left intended for Jarvis Landry,21,7,2.300,-0.040
4,7:44,1,10,PIT 18,James Conner right guard for -1 yards (tackle by Myles Garrett). James Conner fumbles (forced by Myles Garrett) recovered by Jabrill Peppers at PIT-17 and returned for 16 yards (tackle by Ben Roethlisberger),21,7,0.040,-6.970
4,7:36,1,1,PIT 1,Carlos Hyde right guard for 1 yard touchdown,21,13,6.970,7.000
4,7:32,,,PIT 15,Zane Gonzalez kicks extra point good,21,14,0.000,0.000
4,7:32,,,CLE 35,Zane Gonzalez kicks off 51 yards returned by Ryan Switzer for 14 yards (tackle by Orson Charles),21,14,0.000,-0.810
4,7:28,1,10,PIT 28,Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 17 yards,21,14,0.810,1.930
4,6:48,1,10,PIT 45,Ben Roethlisberger sacked by Myles Garrett for -6 yards. Ben Roethlisberger fumbles (forced by Myles Garrett) recovered by Joe Schobert at PIT-37 (tackle by David DeCastro),21,14,1.930,-3.120
4,6:41,1,10,PIT 37,Carlos Hyde left guard for 1 yard (tackle by Stephon Tuitt),21,14,3.120,2.710
4,6:04,2,9,PIT 36,Carlos Hyde right tackle for -3 yards (tackle by T.J. Watt),21,14,2.710,1.620
4,5:28,3,12,PIT 39,Tyrod Taylor pass incomplete short left intended for Jarvis Landry,21,14,1.620,0.660
4,5:22,4,12,PIT 39,Britton Colquitt punts 34 yards out of bounds,21,14,0.660,0.380
4,5:14,1,10,PIT 5,James Conner right guard for 7 yards (tackle by Christian Kirksey),21,14,-0.380,-0.270
4,4:39,2,3,PIT 12,James Conner right guard for 2 yards (tackle by Christian Kirksey),21,14,-0.270,-0.370
4,3:56,3,1,PIT 14,Ben Roethlisberger pass complete short right to Antonio Brown for 3 yards (tackle by Terrance Mitchell),21,14,-0.370,-0.060
4,3:53,1,10,PIT 17,James Conner right guard for 1 yard (tackle by Jamie Collins),21,14,-0.060,-0.420
4,3:13,2,9,PIT 18,James Conner left guard for no gain (tackle by Myles Garrett and Larry Ogunjobi),21,14,-0.420,-1.130
4,3:08,,,,Timeout #2 by Cleveland Browns,21,14,,
4,3:08,3,9,PIT 18,James Conner middle for 1 yard (tackle by Myles Garrett),21,14,-1.130,-2.140
4,2:20,4,8,PIT 19,Jordan Berry punts 51 yards returned by Jabrill Peppers for 15 yards (tackle by Jordan Dangerfield),21,14,-2.140,-1.930
4,2:10,1,10,CLE 45,Tyrod Taylor pass complete deep right to Rashard Higgins for 38 yards (tackle by Cameron Sutton),21,14,1.930,4.440
4,2:03,1,10,PIT 17,Tyrod Taylor pass complete short right to Josh Gordon for 17 yards touchdown,21,20,4.440,7.000
4,1:58,,,PIT 15,Zane Gonzalez kicks extra point good,21,21,0.000,0.000
4,1:58,,,CLE 35,Zane Gonzalez kicks off 61 yards returned by Ryan Switzer for 27 yards (tackle by Damarious Randall),21,21,0.000,-1.000
4,1:52,1,10,PIT 31,Ben Roethlisberger pass incomplete deep middle intended for Jesse James,21,21,1.000,0.460
4,1:48,2,10,PIT 31,Ben Roethlisberger pass incomplete deep left intended for Justin Hunter,21,21,0.460,-0.230
4,1:44,3,10,PIT 31,Ben Roethlisberger pass complete short right to Antonio Brown for 1 yard (tackle by Denzel Ward),21,21,-0.230,-1.240
4,1:37,,,,Timeout #3 by Cleveland Browns,21,21,,
4,1:37,4,9,PIT 32,Jordan Berry punts 39 yards fair catch by Jabrill Peppers,21,21,-1.240,-0.870
4,1:29,1,10,CLE 29,Duke Johnson right guard for 3 yards (tackle by Stephon Tuitt),21,21,0.870,0.730
4,1:09,2,7,CLE 32,Tyrod Taylor pass incomplete short right intended for Rashard Higgins,21,21,0.730,0.040
4,1:00,3,7,CLE 32,Tyrod Taylor pass complete short right to Jarvis Landry for 11 yards (tackle by Sean Davis),21,21,0.040,1.800
4,0:38,1,10,CLE 43,Tyrod Taylor pass complete short left to Jarvis Landry for 9 yards (tackle by Mike Hilton),21,21,1.800,2.470
4,0:24,2,1,PIT 48,Tyrod Taylor spiked the ball. Penalty on PIT: Defensive Too Many Men on Field 5 yards (no play),21,21,2.470,2.720
4,0:23,1,10,PIT 43,Tyrod Taylor pass incomplete deep right intended for Josh Gordon is intercepted by Cameron Sutton at PIT-8,21,21,2.720,0.380
4,0:16,1,10,PIT 8,Ben Roethlisberger kneels for -1 yards,21,21,-0.380,-0.850
