Quarter,Time,Down,ToGo,Location,Detail,SEA,DEN,EPB,EPA
4,11:42,3,10,SEA 31,Case Keenum pass complete short left to Jake Butt for 22 yards (tackle by Shaquem Griffin). Penalty on Dion Jordan: Roughing the Passer 5 yards Penalty on Tre Flowers: Defensive Holding (Declined),24,20,2.280,6.280
4,11:18,1,4,SEA 4,Case Keenum pass complete short right to Demaryius Thomas for 4 yards touchdown,24,26,6.280,7.000
4,11:11,,,SEA 15,Brandon McManus kicks extra point good,24,27,0.000,0.000
4,11:11,,,DEN 35,Brandon McManus kicks off 65 yards touchback,24,27,0.000,-0.610
4,11:11,1,10,SEA 25,Russell Wilson pass complete short right to Brandon Marshall for 11 yards (tackle by Bradley Roby),24,27,0.610,1.330
4,10:43,1,10,SEA 36,Chris Carson left end for 2 yards (tackle by Bradley Chubb and Domata Peko),24,27,1.330,1.060
4,10:01,2,8,SEA 38,Russell Wilson pass complete short left to Chris Carson for 5 yards (tackle by Todd Davis),24,27,1.060,1.030
4,9:16,3,3,SEA 43,Russell Wilson sacked by Von Miller for -13 yards,24,27,1.030,-1.370
4,8:38,4,16,SEA 30,Michael Dickson punts 57 yards out of bounds,24,27,-1.370,0.320
4,8:31,1,10,DEN 13,Case Keenum pass complete short left to Emmanuel Sanders for 7 yards (tackle by Tre Flowers),24,27,-0.320,0.220
4,7:57,2,3,DEN 20,Phillip Lindsay middle for 5 yards (tackle by Rasheem Green),24,27,0.220,0.610
4,7:17,1,10,DEN 25,Phillip Lindsay left tackle for no gain (tackle by Delano Hill),24,27,0.610,0.060
4,6:39,2,10,DEN 25,Phillip Lindsay middle for 4 yards (tackle by Jarran Reed),24,27,0.060,-0.100
4,5:59,3,6,DEN 29,Case Keenum pass complete short left to Devontae Booker for 4 yards (tackle by Dion Jordan and Quinton Jefferson),24,27,-0.100,-1.180
4,5:14,4,2,DEN 33,Marquette King punts 49 yards returned by Tyler Lockett for 4 yards (tackle by Tim Patrick),24,27,-1.180,-0.410
4,5:04,1,10,SEA 22,Rashaad Penny right end for -2 yards (tackle by Derek Wolfe),24,27,0.410,-0.400
