Quarter,Time,Down,ToGo,Location,Detail,KAN,LAC,EPB,EPA
4,1:57,1,10,KAN 40,Philip Rivers pass complete short left to Mike Williams for 12 yards,38,28,2.920,3.710
4,1:51,1,10,KAN 28,Philip Rivers pass incomplete deep middle intended for Travis Benjamin,38,28,3.710,3.170
4,1:45,2,10,KAN 28,Philip Rivers pass incomplete deep right intended for Keenan Allen (defended by Orlando Scandrick),38,28,3.170,2.480
4,1:40,3,10,KAN 28,Philip Rivers pass complete short right to Melvin Gordon for -2 yards (tackle by Anthony Hitchens),38,28,2.480,1.410
4,1:11,4,12,KAN 30,Caleb Sturgis 48 yard field goal no good,38,28,1.410,-1.470
4,1:06,1,10,KAN 38,Kareem Hunt middle for 4 yards (tackle by Kyle Emanuel),38,28,1.470,1.460
4,1:00,,,,Timeout #1 by Los Angeles Chargers,38,28,,
4,1:00,2,6,KAN 42,Kareem Hunt right end for -2 yards (tackle by Kyle Emanuel and Chris Landrum),38,28,1.460,0.500
4,0:53,,,,Timeout #2 by Los Angeles Chargers,38,28,,
4,0:53,3,8,KAN 40,Kareem Hunt middle for -4 yards (tackle by Kyle Emanuel),38,28,0.500,-0.980
4,0:50,,,,Timeout #3 by Los Angeles Chargers,38,28,,
4,0:50,4,12,KAN 36,Dustin Colquitt punts 44 yards,38,28,-0.980,-0.280
4,0:36,1,10,LAC 20,Philip Rivers pass incomplete deep left intended for Mike Williams (defended by Steven Nelson),38,28,0.280,-0.270
4,0:31,2,10,LAC 20,Philip Rivers pass complete short middle to Mike Williams for 14 yards (tackle by Terrance Smith),38,28,-0.270,1.200
4,0:10,1,10,LAC 34,Philip Rivers pass incomplete deep right intended for Antonio Gates,38,28,1.200,0.660
4,0:07,2,10,LAC 34,Philip Rivers pass complete short middle to Austin Ekeler for 18 yards (tackle by Terrance Smith and Anthony Hitchens),38,28,0.660,2.390
