Quarter,Time,Down,ToGo,Location,Detail,NYJ,DET,EPB,EPA
3,4:16,1,10,DET 38,Matthew Stafford pass complete short right to Golden Tate for 4 yards (tackle by Trumaine Johnson). Penalty on Avery Williamson: Defensive Holding 5 yards (no play),41,17,1.470,1.800
3,3:57,1,10,DET 43,Matthew Stafford pass complete short left to Marvin Jones for 28 yards (tackle by Doug Middleton),41,17,1.800,3.640
3,3:19,1,10,NYJ 29,Matthew Stafford pass complete short left to Theo Riddick for 2 yards (tackle by Darron Lee),41,17,3.640,3.370
3,2:39,2,8,NYJ 27,Matthew Stafford pass complete short left to Theo Riddick for 1 yard (tackle by Darron Lee),41,17,3.370,2.810
3,1:55,3,7,NYJ 26,Matthew Stafford pass incomplete short left intended for Golden Tate,41,17,2.810,1.740
3,1:51,4,7,NYJ 26,Matt Prater 44 yard field goal no good,41,17,1.740,-1.200
3,1:46,1,10,NYJ 34,Isaiah Crowell middle for 4 yards (tackle by Ricky Jean-Francois),41,17,1.200,1.200
3,1:04,2,6,NYJ 38,Isaiah Crowell right end for 62 yards touchdown,47,17,1.200,7.000
3,0:54,,,DET 15,Jason Myers kicks extra point good,48,17,0.000,0.000
3,0:54,,,NYJ 35,Jason Myers kicks off 65 yards touchback,48,17,0.000,-0.610
3,0:54,1,10,DET 25,Matthew Stafford pass complete short middle to Golden Tate for 5 yards (tackle by Darron Lee),48,17,0.610,0.740
3,0:29,2,5,DET 30,Matthew Stafford pass complete short middle to Golden Tate for 8 yards (tackle by Buster Skrine),48,17,0.740,1.470
3,0:04,1,10,DET 38,Matthew Stafford pass complete short left to Marvin Jones for 13 yards (tackle by Doug Middleton),48,17,1.470,2.320
4,15:00,1,10,NYJ 49,Matthew Stafford pass complete short left to Kerryon Johnson for 6 yards (tackle by Darron Lee and Jamal Adams),48,17,2.320,2.590
4,14:28,2,4,NYJ 43,Matthew Stafford pass complete short right to Marvin Jones for 2 yards (tackle by Trumaine Johnson),48,17,2.590,2.150
4,13:41,3,2,NYJ 41,Matthew Stafford pass complete short middle to Kenny Golladay for 17 yards (tackle by Buster Skrine),48,17,2.150,3.970
4,13:00,1,10,NYJ 24,Matthew Stafford pass complete short middle to T.J. Jones for 6 yards (tackle by Avery Williamson),48,17,3.970,4.290
4,12:26,2,4,NYJ 18,Matthew Stafford pass incomplete deep left intended for T.J. Jones (defended by Jamal Adams),48,17,4.290,3.570
4,12:19,3,4,NYJ 18,Matthew Stafford pass complete short middle to Theo Riddick for 4 yards (tackle by Avery Williamson),48,17,3.570,4.650
4,11:34,1,10,NYJ 14,Matthew Stafford pass complete short left to Theo Riddick for 5 yards (tackle by Darron Lee),48,17,4.650,4.900
4,11:01,2,5,NYJ 9,Matthew Stafford pass incomplete short middle intended for Golden Tate (defended by Frankie Luvu),48,17,4.900,4.050
4,10:57,3,5,NYJ 9,Matthew Stafford pass incomplete short left intended for Marvin Jones,48,17,4.050,2.880
4,10:51,4,5,NYJ 9,Matthew Stafford pass incomplete short middle intended for Marvin Jones,48,17,2.880,0.380
4,10:47,1,10,NYJ 9,Bilal Powell right tackle for 1 yard (tackle by Da'Shawn Hand),48,17,-0.380,-0.710
4,10:06,2,9,NYJ 10,Bilal Powell left end for 5 yards (tackle by Sylvester Williams),48,17,-0.710,-0.720
4,9:21,3,4,NYJ 15,Bilal Powell left end for 2 yards (tackle by Jarrad Davis),48,17,-0.720,-2.320
4,8:23,4,2,NYJ 17,Lac Edwards punts 38 yards out of bounds,48,17,-2.320,-1.930
4,8:15,1,10,DET 45,Matt Cassel pass complete short right to Hakeem Valles for 5 yards (tackle by Darron Lee),48,17,1.930,2.060
4,7:51,2,5,50,Theo Riddick middle for 6 yards (tackle by Jeremiah Attaochu),48,17,2.060,2.650
4,7:22,1,10,NYJ 44,Matt Cassel pass complete short middle to Kenny Golladay for 9 yards (tackle by Buster Skrine),48,17,2.650,3.330
4,6:54,2,1,NYJ 35,Matt Cassel pass incomplete short right intended for Hakeem Valles (defended by Darron Lee),48,17,3.330,2.610
4,6:49,3,1,NYJ 35,Matt Cassel pass incomplete short right intended for Kenny Golladay,48,17,2.610,1.000
4,6:44,4,1,NYJ 35,Matt Cassel pass incomplete short right intended for Kenny Golladay is intercepted by Jamal Adams at NYJ-22 and returned for 38 yards,48,17,1.000,-2.920
4,6:31,1,10,DET 40,Trenton Cannon left tackle for 5 yards (tackle by Kerry Hyder),48,17,2.920,3.050
4,5:49,2,5,DET 35,Trenton Cannon left tackle for 3 yards (tackle by Ricky Jean-Francois),48,17,3.050,2.740
4,5:04,3,2,DET 32,Trenton Cannon left tackle for no gain (tackle by Ricky Jean-Francois),48,17,2.740,1.300
4,4:19,4,2,DET 32,Sam Darnold pass complete short right to Trenton Cannon for 6 yards,48,17,1.300,3.840
4,4:12,1,10,DET 26,Trenton Cannon right tackle for 1 yard (tackle by Da'Shawn Hand),48,17,3.840,3.430
4,3:27,2,9,DET 25,Trenton Cannon middle for 4 yards (tackle by Kerry Hyder),48,17,3.430,3.270
4,2:40,3,5,DET 21,Trenton Cannon right end for 2 yards (tackle by Jarrad Davis),48,17,3.270,2.280
4,2:35,,,,Timeout #1 by New York Jets,48,17,,
4,2:35,4,3,DET 19,Sam Darnold pass complete deep left to Terrelle Pryor for 17 yards (tackle by Nevin Lawson),48,17,2.280,6.740
4,2:27,1,2,DET 2,Penalty on NYJ: Delay of Game 5 yards (no play),48,17,6.740,5.600
4,2:27,1,7,DET 7,Sam Darnold kneels for -1 yards,48,17,5.600,4.570
4,2:00,2,8,DET 8,Sam Darnold kneels for -2 yards,48,17,4.570,3.130
4,1:21,3,10,DET 10,Sam Darnold kneels for -2 yards,48,17,3.130,2.630
4,0:38,4,12,DET 12,Sam Darnold kneels for -1 yards,48,17,2.630,0.320
4,0:37,1,10,DET 13,Matt Cassel kneels for -1 yards,48,17,-0.320,-0.850
