Quarter,Time,Down,ToGo,Location,Detail,JAX,NYG,EPB,EPA
3,6:28,4,2,JAX 38,Saquon Barkley middle for 1 yard (tackle by Tashaun Gipson and Lerentee McCray),13,9,0.720,-1.400
3,6:14,1,10,JAX 37,Blake Bortles pass complete short right to Keelan Cole for 13 yards (tackle by Eli Apple),13,9,1.400,2.260
3,5:47,1,10,50,T.J. Yeldon right guard for 7 yards (tackle by Dalvin Tomlinson),13,9,2.260,2.660
3,5:15,2,3,NYG 43,Blake Bortles pass incomplete short middle intended for T.J. Yeldon,13,9,2.660,1.950
3,5:15,3,3,NYG 43,Penalty on Cam Robinson: False Start 5 yards (no play),13,9,1.950,1.290
3,5:12,3,8,NYG 48,Blake Bortles pass incomplete deep right intended for Donte Moncrief,13,9,1.290,0.070
3,5:07,4,8,NYG 48,Logan Cooke punts 37 yards,13,9,0.070,0.370
3,4:58,1,10,NYG 11,Jonathan Stewart right tackle for 4 yards (tackle by Myles Jack and Ronnie Harrison),13,9,-0.370,-0.430
3,4:25,2,6,NYG 15,Eli Manning pass complete short right to Sterling Shepard for 10 yards (tackle by A.J. Bouye),13,9,-0.430,0.610
3,3:51,1,10,NYG 25,Eli Manning pass incomplete short right intended for Odell Beckham,13,9,0.610,0.060
3,3:47,2,10,NYG 25,Eli Manning pass incomplete short middle intended for Evan Engram (defended by Tashaun Gipson),13,9,0.060,-0.620
3,3:43,3,10,NYG 25,Eli Manning pass incomplete short right intended for Odell Beckham,13,9,-0.620,-1.700
3,3:39,4,10,NYG 25,Riley Dixon punts 55 yards returned by Jaydon Mickens for -4 yards (tackle by Curtis Riley). Penalty on Blair Brown: Illegal Block Above the Waist 8 yards,13,9,-1.700,0.380
3,3:25,1,10,JAX 8,Blake Bortles pass incomplete short left intended for Austin Seferian-Jenkins (defended by Alec Ogletree),13,9,-0.380,-0.780
3,3:20,2,10,JAX 8,Blake Bortles for 41 yards (tackle by Landon Collins),13,9,-0.780,2.190
3,2:42,1,10,JAX 49,Blake Bortles pass incomplete short left intended for James O'Shaughnessy,13,9,2.190,1.650
3,2:37,2,10,JAX 49,T.J. Yeldon right tackle for 2 yards (tackle by Dalvin Tomlinson and B.J. Goodson),13,9,1.650,1.220
3,1:54,3,8,NYG 49,Penalty on Andrew Norwell: False Start 5 yards (no play),13,9,1.220,0.560
3,1:39,3,13,JAX 46,Blake Bortles pass complete short right to T.J. Yeldon for 10 yards (tackle by Curtis Riley),13,9,0.560,0.330
3,1:24,4,3,NYG 44,Logan Cooke punts 29 yards out of bounds,13,9,0.330,0.220
3,1:16,1,10,NYG 15,Eli Manning pass incomplete short left intended for Evan Engram,13,9,-0.220,-0.710
3,1:10,2,10,NYG 15,Saquon Barkley middle for 5 yards (tackle by Telvin Smith),13,9,-0.710,-0.760
3,0:27,3,5,NYG 20,Eli Manning pass complete short right to Saquon Barkley for 18 yards (tackle by Myles Jack),13,9,-0.760,1.470
4,15:00,1,10,NYG 38,Eli Manning pass complete short left to Saquon Barkley for 3 yards (tackle by Myles Jack). Penalty on Nate Solder: Offensive Holding 10 yards (no play),13,9,1.470,0.810
4,14:37,1,20,NYG 28,Eli Manning pass incomplete short left intended for Saquon Barkley,13,9,0.810,-0.430
4,14:32,2,20,NYG 28,Eli Manning pass incomplete,13,9,-0.430,-1.090
4,14:24,3,20,NYG 28,Eli Manning pass complete short right to Odell Beckham for 13 yards (tackle by A.J. Bouye),13,9,-1.090,-0.650
4,13:55,4,7,NYG 41,Riley Dixon punts 59 yards touchback,13,9,-0.650,-0.280
4,13:46,1,10,JAX 20,Blake Bortles pass complete short left to Donte Moncrief for 14 yards (tackle by Curtis Riley),13,9,0.280,1.200
4,13:14,1,10,JAX 34,T.J. Yeldon left tackle for 3 yards (tackle by Janoris Jenkins and Landon Collins),13,9,1.200,1.060
4,12:33,2,7,JAX 37,Blake Bortles pass incomplete short left intended for T.J. Yeldon,13,9,1.060,0.370
4,12:26,3,7,JAX 37,Blake Bortles pass incomplete deep right intended for Donte Moncrief (defended by Eli Apple),13,9,0.370,-0.910
4,12:20,4,7,JAX 37,Logan Cooke punts 36 yards fair catch by Kaelin Clay,13,9,-0.910,-0.740
4,12:13,1,10,NYG 27,Saquon Barkley left guard for 3 yards (tackle by Myles Jack and Marcell Dareus),13,9,0.740,0.600
4,11:35,2,7,NYG 30,Eli Manning pass incomplete short right intended for Saquon Barkley is intercepted by Myles Jack at NYG-32 and returned for 32 yards touchdown,19,9,0.600,-7.000
4,,,,,Josh Lambo kicks extra point good,20,9,0.000,0.000
4,11:24,,,JAX 35,Josh Lambo kicks off 65 yards touchback,20,9,0.000,-0.610
4,11:24,1,10,NYG 25,Eli Manning pass complete short left to Odell Beckham for 7 yards (tackle by Jalen Ramsey),20,9,0.610,1.010
4,10:51,2,3,NYG 32,Saquon Barkley right tackle for 68 yards touchdown,20,15,1.010,7.000
4,10:39,,,JAX 2,Two Point Attempt: Saquon Barkley left guard conversion fails,20,15,0.000,-1.000
4,10:39,,,NYG 35,Aldrick Rosas kicks off 65 yards touchback,20,15,0.000,-0.610
4,10:39,1,10,JAX 25,Penalty on Jermey Parnell: False Start 5 yards (no play),20,15,0.610,0.280
4,10:39,1,15,JAX 20,Blake Bortles pass complete short left to Austin Seferian-Jenkins for 9 yards (tackle by Landon Collins),20,15,0.280,0.600
4,10:07,2,6,JAX 29,T.J. Yeldon left end for no gain (tackle by B.J. Hill),20,15,0.600,-0.100
4,9:24,3,6,JAX 29,Blake Bortles pass incomplete short right intended for Austin Seferian-Jenkins (defended by Connor Barwin),20,15,-0.100,-1.440
4,9:18,4,6,JAX 29,Logan Cooke punts 44 yards returned by Kaelin Clay for -1 yards (tackle by DJ Chark),20,15,-1.440,-0.670
4,9:08,1,10,NYG 26,Eli Manning pass complete short left to Odell Beckham for 3 yards (tackle by Myles Jack and Abry Jones),20,15,0.670,0.540
4,8:44,2,7,NYG 29,Eli Manning for 2 yards (tackle by Telvin Smith),20,15,0.540,0.100
4,8:06,3,5,NYG 31,Eli Manning pass complete short left to Saquon Barkley for 4 yards (tackle by D.J. Hayden and A.J. Bouye),20,15,0.100,-1.040
4,8:06,4,1,NYG 35,Penalty on Curtis Riley: False Start 4 yards (no play),20,15,-1.040,-1.310
4,7:04,4,5,NYG 31,Riley Dixon punts 54 yards returned by Jaydon Mickens for 10 yards (tackle by Kerry Wynn),20,15,-1.310,-0.610
4,6:51,1,10,JAX 25,T.J. Yeldon right tackle for 7 yards (tackle by Ray-Ray Armstrong and Alec Ogletree),20,15,0.610,1.010
4,6:15,2,3,JAX 32,T.J. Yeldon middle for no gain (tackle by Damon Harrison and B.J. Hill),20,15,1.010,0.300
4,5:36,3,3,JAX 32,Blake Bortles pass complete short left to Dede Westbrook for 4 yards (tackle by B.W. Webb),20,15,0.300,1.330
4,5:01,1,10,JAX 36,Blake Bortles pass incomplete short right intended for James O'Shaughnessy (defended by Lorenzo Carter),20,15,1.330,0.790
4,4:57,,,,Timeout #1 by Jacksonville Jaguars,20,15,,
4,4:57,2,10,JAX 36,Blake Bortles pass incomplete short right intended for T.J. Yeldon (defended by Landon Collins),20,15,0.790,0.100
4,4:52,3,10,JAX 36,Blake Bortles pass complete short middle to Austin Seferian-Jenkins for 3 yards (tackle by Landon Collins),20,15,0.100,-0.780
4,4:20,4,7,JAX 39,Logan Cooke punts 47 yards returned by Kaelin Clay for 5 yards (tackle by Niles Paul),20,15,-0.780,-0.150
4,4:10,1,10,NYG 19,Eli Manning pass complete deep right to Odell Beckham for 21 yards (tackle by Jalen Ramsey),20,15,0.150,1.600
4,4:03,1,10,NYG 40,Saquon Barkley right end for 1 yard (tackle by Barry Church),20,15,1.600,1.190
4,3:21,2,9,NYG 41,Eli Manning pass complete deep middle to Odell Beckham for 19 yards (tackle by Barry Church),20,15,1.190,2.920
4,2:38,1,10,JAX 40,Eli Manning pass incomplete short middle intended for Sterling Shepard,20,15,2.920,2.370
4,2:33,2,10,JAX 40,Jonathan Stewart left guard for 4 yards (tackle by Telvin Smith and Malik Jackson),20,15,2.370,2.210
4,2:00,3,6,JAX 36,Eli Manning pass incomplete short left intended for Evan Engram (defended by Barry Church),20,15,2.210,0.880
4,1:55,4,6,JAX 36,Eli Manning pass incomplete deep right intended for Sterling Shepard (defended by D.J. Hayden),20,15,0.880,-1.330
4,1:49,1,10,JAX 36,T.J. Yeldon left guard for 2 yards (tackle by Alec Ogletree and Damon Harrison),20,15,1.330,1.060
4,1:44,,,,Timeout #2 by New York Giants,20,15,,
4,1:44,2,8,JAX 38,T.J. Yeldon right tackle for 2 yards (tackle by Dalvin Tomlinson and B.J. Hill),20,15,1.060,0.630
4,1:38,,,,Timeout #3 by New York Giants,20,15,,
4,1:38,3,6,JAX 40,T.J. Yeldon left tackle for no gain (tackle by Dalvin Tomlinson and Alec Ogletree),20,15,0.630,-0.720
4,0:54,,,,Timeout #2 by Jacksonville Jaguars,20,15,,
4,0:54,4,6,JAX 40,Logan Cooke punts 41 yards muffed catch by Kaelin Clay recovered by Donald Payne and returned for no gain,20,15,-0.720,4.170
4,0:45,1,10,NYG 21,Blake Bortles kneels for -1 yards,20,15,4.170,3.490
4,0:20,2,11,NYG 22,Blake Bortles kneels for -1 yards,20,15,3.490,2.680
