Quarter,Time,Down,ToGo,Location,Detail,TEN,MIA,EPB,EPA
4,3:53,4,10,OTI 12,Jason Sanders 30 yard field goal good,17,27,2.630,3.000
4,3:49,,,MIA 35,Jason Sanders kicks off 65 yards touchback,17,27,0.000,-0.610
4,3:49,1,10,OTI 25,Blaine Gabbert pass complete short middle to Delanie Walker for 15 yards (tackle by T.J. McDonald),17,27,0.610,1.600
4,3:33,1,10,OTI 40,Blaine Gabbert pass incomplete deep right intended for Corey Davis,17,27,1.600,1.050
4,3:21,2,10,OTI 40,Blaine Gabbert pass complete short left to Dion Lewis for 3 yards (tackle by Kiko Alonso),17,27,1.050,0.760
4,3:15,3,7,OTI 43,Blaine Gabbert pass incomplete short right intended for Corey Davis,17,27,0.760,-0.520
4,3:11,,,,Timeout #3 by Tennessee Titans,17,27,,
4,3:11,4,7,OTI 43,Blaine Gabbert pass incomplete short left intended for Dion Lewis,17,27,-0.520,-2.720
4,3:07,1,10,OTI 43,Kenyan Drake left tackle for 3 yards (tackle by Kenny Vaccaro),17,27,2.720,2.580
4,2:22,2,7,OTI 40,Kenyan Drake right end for -3 yards (tackle by Kamalei Correa and William Compton),17,27,2.580,1.490
4,2:00,3,10,OTI 43,Kenyan Drake left tackle for no gain (tackle by Wesley Woodyard and Jurrell Casey),17,27,1.490,0.400
4,1:15,,,,Timeout #2 by Miami Dolphins,17,27,,
4,1:15,4,10,OTI 43,Penalty on Matt Haack: Delay of Game (Declined),17,27,0.400,0.400
4,1:15,4,10,OTI 43,Matt Haack punts 43 yards touchback,17,27,0.400,-0.280
4,1:07,1,10,OTI 20,Blaine Gabbert pass complete short middle to Corey Davis for 18 yards (tackle by Xavien Howard),17,27,0.280,1.470
4,0:59,1,10,OTI 38,Blaine Gabbert pass incomplete short middle intended for Jonnu Smith (defended by Minkah Fitzpatrick),17,27,1.470,0.920
4,0:55,2,10,OTI 38,Blaine Gabbert pass incomplete short middle intended for Corey Davis,17,27,0.920,0.230
4,0:50,3,10,OTI 38,Blaine Gabbert pass complete short middle to Jonnu Smith for 12 yards (tackle by T.J. McDonald),17,27,0.230,2.260
4,0:32,1,10,50,Blaine Gabbert pass complete short middle to Dion Lewis for 10 yards (tackle by Jerome Baker),17,27,2.260,2.920
4,0:17,1,10,MIA 40,Blaine Gabbert spiked the ball. Penalty on MIA: Defensive Too Many Men on Field 5 yards (no play),17,27,2.920,3.650
4,0:16,1,5,MIA 35,Ryan Succop 53 yard field goal good,20,27,3.650,3.000
4,0:11,,,OTI 35,Daren Bates kicks onside 13 yards recovered by Jerome Baker,20,27,0.000,-2.390
4,0:10,1,10,OTI 48,Ryan Tannehill kneels for -1 yards,20,27,2.390,1.710
