Quarter,Time,Down,ToGo,Location,Detail,CIN,IND,EPB,EPA
3,13:32,1,15,CIN 28,Joe Mixon right tackle for -1 yards (tackle by Margus Hunt and Al Woods),10,16,0.810,-0.220
3,13:04,2,16,CIN 27,Andy Dalton sacked by Margus Hunt for -8 yards,10,16,-0.220,-2.080
3,12:19,3,24,CIN 19,Andy Dalton pass complete short right to Tyler Eifert for 6 yards (tackle by Nate Hairston),10,16,-2.080,-1.700
3,11:42,4,18,CIN 25,Kevin Huber punts 50 yards. Penalty on Brandon Wilson: Kick Catch Interference 15 yards,10,16,-1.700,-1.600
3,11:30,1,10,CLT 40,Andrew Luck pass complete short middle to Ryan Grant for 8 yards (tackle by Dre Kirkpatrick),10,16,1.600,2.130
3,10:57,2,2,CLT 48,Andrew Luck pass complete short right to Ryan Grant for 13 yards (tackle by Clayton Fejedelem),10,16,2.130,2.980
3,10:23,1,10,CIN 39,Andrew Luck pass incomplete deep left intended for T.Y. Hilton,10,16,2.980,2.440
3,10:17,2,10,CIN 39,Andrew Luck pass complete short middle to Jordan Wilkins for 7 yards (tackle by Hardy Nickerson),10,16,2.440,2.680
3,9:52,3,3,CIN 32,Andrew Luck pass complete short middle to Eric Ebron for 12 yards (tackle by Jessie Bates),10,16,2.680,4.240
3,9:13,1,10,CIN 20,Andrew Luck pass incomplete short right intended for T.Y. Hilton (defended by Dre Kirkpatrick),10,16,4.240,3.690
3,9:06,2,10,CIN 20,Andrew Luck pass complete short left to Jordan Wilkins for 6 yards (tackle by Nick Vigil),10,16,3.690,3.890
3,8:38,3,4,CIN 14,Andrew Luck pass complete short left to Jack Doyle for 9 yards (tackle by Clayton Fejedelem),10,16,3.890,6.060
3,8:17,1,5,CIN 5,Andrew Luck pass complete short left to T.Y. Hilton for 5 yards touchdown. Penalty on William Jackson: Unnecessary Roughness 15 yards,10,22,6.060,7.000
3,8:13,,,CIN 15,Adam Vinatieri kicks extra point good,10,23,0.000,0.000
3,8:13,,,50,Rigoberto Sanchez kicks off 50 yards touchback,10,23,0.000,-0.610
3,8:13,1,10,CIN 25,Andy Dalton pass complete short right to Joe Mixon for 5 yards (tackle by Denico Autry),10,23,0.610,0.740
3,7:38,2,5,CIN 30,Andy Dalton pass complete short right to A.J. Green for 6 yards (tackle by Nate Hairston),10,23,0.740,1.330
3,7:05,1,10,CIN 36,Andy Dalton pass complete short left to Tyler Boyd for 4 yards,10,23,1.330,1.330
3,6:31,2,6,CIN 40,Andy Dalton pass incomplete short right intended for Joe Mixon,10,23,1.330,0.630
3,6:25,3,6,CIN 40,Andy Dalton right end for 7 yards (tackle by Nate Hairston),10,23,0.630,2.060
3,5:42,1,10,CIN 47,Joe Mixon right tackle for 7 yards (tackle by Clayton Geathers),10,23,2.060,2.460
3,5:03,2,3,CLT 46,Joe Mixon right tackle for 8 yards (tackle by Clayton Geathers),10,23,2.460,3.050
3,4:18,1,10,CLT 38,Andy Dalton pass complete deep left to A.J. Green for 38 yards touchdown,16,23,3.050,7.000
3,4:09,,,CLT 15,Randy Bullock kicks extra point good,17,23,0.000,0.000
3,4:09,,,CIN 35,Randy Bullock kicks off 65 yards touchback,17,23,0.000,-0.610
3,4:09,1,10,CLT 25,Jordan Wilkins for 6 yards,17,23,0.610,0.870
3,3:42,2,4,CLT 31,Andrew Luck pass incomplete deep right intended for T.Y. Hilton,17,23,0.870,0.170
3,3:35,3,4,CLT 31,Andrew Luck pass complete deep left to Zach Pascal for 18 yards (tackle by Jessie Bates and Clayton Fejedelem),17,23,0.170,2.190
3,2:58,1,10,CLT 49,Jordan Wilkins left end for 1 yard (tackle by Hardy Nickerson),17,23,2.190,1.780
3,2:33,2,9,50,Jordan Wilkins middle for 2 yards (tackle by Nick Vigil),17,23,1.780,1.360
3,1:54,3,7,CIN 48,Andrew Luck sacked by Carlos Dunlap for -10 yards. Andrew Luck fumbles (forced by Carlos Dunlap) recovered by Clayton Fejedelem at IND-39 and returned for 35 yards (tackle by T.Y. Hilton). Penalty on Carlos Dunlap: Roughing the Passer 15 yards (no play),17,23,1.360,3.380
3,1:49,1,10,CIN 33,Nyheim Hines left end for 4 yards (tackle by Nick Vigil),17,23,3.380,3.380
3,1:05,2,6,CIN 29,Andrew Luck sacked by Carlos Dunlap for -8 yards,17,23,3.380,1.620
3,0:21,3,14,CIN 37,Andrew Luck pass incomplete short left intended for Nyheim Hines,17,23,1.620,0.790
3,0:17,4,14,CIN 37,Adam Vinatieri 55 yard field goal no good,17,23,0.790,-1.930
3,0:12,1,10,CIN 45,Joe Mixon left tackle for 13 yards (tackle by Malik Hooker),17,23,1.930,2.790
4,15:00,1,10,CLT 42,Joe Mixon middle for 1 yard (tackle by Jabaal Sheard),17,23,2.790,2.380
4,14:37,2,9,CLT 41,Andy Dalton sacked by Margus Hunt for -6 yards,17,23,2.380,0.890
4,13:55,3,15,CLT 47,Andy Dalton pass incomplete short right intended for Tyler Eifert. Penalty on Clayton Geathers: Defensive Pass Interference 8 yards (no play),17,23,0.890,2.980
4,13:50,1,10,CLT 39,Giovani Bernard right end for -8 yards (tackle by Kemoko Turay). Penalty on Kemoko Turay: Horse Collar Tackle 15 yards (no play),17,23,2.980,3.970
4,13:23,1,10,CLT 24,Andy Dalton pass complete short right to Joe Mixon for 15 yards (tackle by Clayton Geathers),17,23,3.970,5.140
4,12:56,1,9,CLT 9,Joe Mixon left guard for 6 yards (tackle by Darius Leonard),17,23,5.140,5.530
4,12:19,2,3,CLT 3,Joe Mixon middle for 1 yard (tackle by Denico Autry). Penalty on Margus Hunt: Illegal Substitution 2 yards (no play),17,23,5.530,5.910
4,11:51,,,,Timeout #1 by Cincinnati Bengals,17,23,,
4,11:51,2,1,CLT 1,Joe Mixon middle for no gain (tackle by Skai Moore),17,23,5.910,5.170
4,11:10,3,1,CLT 1,Joe Mixon middle for 1 yard touchdown,23,23,5.170,7.000
4,11:07,,,CLT 15,Randy Bullock kicks extra point good,24,23,0.000,0.000
4,11:07,,,CIN 35,Randy Bullock kicks off 65 yards touchback,24,23,0.000,-0.610
4,11:07,1,10,CLT 25,Andrew Luck pass complete short right to T.Y. Hilton for 8 yards (tackle by Dre Kirkpatrick),24,23,0.610,1.140
4,10:41,2,2,CLT 33,Jordan Wilkins middle for no gain (tackle by Darqueze Dennard and Ryan Glasgow),24,23,1.140,0.430
4,10:07,3,2,CLT 33,Andrew Luck pass incomplete deep right intended for Ryan Grant (defended by Dre Kirkpatrick),24,23,0.430,-1.180
4,10:01,4,2,CLT 33,Rigoberto Sanchez punts 46 yards fair catch by Alex Erickson,24,23,-1.180,-0.340
4,9:53,1,10,CIN 21,Joe Mixon middle for 2 yards (tackle by Nate Hairston),24,23,0.340,0.070
4,9:13,2,8,CIN 23,Andy Dalton pass complete short middle to A.J. Green for 18 yards (tackle by Matthias Farley),24,23,0.070,1.660
4,8:34,1,10,CIN 41,Joe Mixon left tackle for 3 yards (tackle by Anthony Walker and Darius Leonard),24,23,1.660,1.530
4,7:59,2,7,CIN 44,Joe Mixon right tackle for 2 yards (tackle by Najee Goode). Penalty on Alex Redmond: Offensive Holding 10 yards (no play),24,23,1.530,0.180
4,7:37,2,17,CIN 34,Andy Dalton pass complete short middle to Tyler Eifert for 9 yards (tackle by Anthony Walker and Darius Leonard),24,23,0.180,0.700
4,6:57,3,8,CIN 43,Andy Dalton pass complete short right to Tyler Boyd for 17 yards (tackle by Malik Hooker),24,23,0.700,2.920
4,6:14,1,10,CLT 40,Andy Dalton pass complete short middle to Joe Mixon for 5 yards (tackle by Darius Leonard),24,23,2.920,3.050
4,5:34,2,5,CLT 35,Andy Dalton pass complete short left to A.J. Green for 12 yards (tackle by Clayton Geathers). A.J. Green fumbles (forced by Clayton Geathers) recovered by Tyler Boyd at IND-21,24,23,3.050,4.170
4,4:56,1,10,CLT 21,Joe Mixon right end for no gain (tackle by Anthony Walker),24,23,4.170,3.630
4,4:13,2,10,CLT 21,Andy Dalton pass incomplete deep left intended for A.J. Green,24,23,3.630,2.940
