Quarter,Time,Down,ToGo,Location,Detail,BAL,CLE,EPB,EPA
4,13:50,4,1,CLE 34,Britton Colquitt punts 64 yards returned by Tim White for 10 yards (tackle by Charley Hughlett),6,9,-1.110,0.350
4,13:38,1,10,RAV 12,Joe Flacco pass complete short middle to Michael Crabtree for 20 yards (tackle by Denzel Ward),6,9,-0.350,1.070
4,13:09,1,10,RAV 32,Joe Flacco pass incomplete short right intended for John Brown. Penalty on Myles Garrett: Defensive Offside 5 yards (no play),6,9,1.070,1.800
4,13:06,1,5,RAV 37,Javorius Allen right guard for 6 yards (tackle by Joe Schobert),6,9,1.800,1.800
4,12:31,1,10,RAV 43,Joe Flacco pass incomplete short middle intended for Willie Snead,6,9,1.800,1.250
4,12:28,2,10,RAV 43,Joe Flacco pass complete short left to Maxx Williams for 1 yard (tackle by Christian Kirksey),6,9,1.250,0.690
4,11:45,3,9,RAV 44,Joe Flacco pass incomplete short right intended for Chris Moore,6,9,0.690,-0.460
4,11:40,4,9,RAV 44,Sam Koch punts 56 yards touchback,6,9,-0.460,-0.280
4,11:33,1,10,CLE 20,Carlos Hyde right guard for 5 yards (tackle by Brandon Williams),6,9,0.280,0.410
4,10:58,2,5,CLE 25,Carlos Hyde right guard for 6 yards (tackle by Kenny Young),6,9,0.410,1.000
4,10:20,1,10,CLE 31,Carlos Hyde right guard for 1 yard (tackle by Za'Darius Smith and Brandon Williams),6,9,1.000,0.600
4,9:40,2,9,CLE 32,Baker Mayfield pass incomplete deep middle intended for Jarvis Landry,6,9,0.600,-0.100
4,9:36,3,9,CLE 32,Baker Mayfield pass incomplete short left intended for Antonio Callaway (defended by Brandon Carr),6,9,-0.100,-1.240
4,9:32,4,9,CLE 32,Britton Colquitt punts 55 yards returned by Tim White for 13 yards (tackle by Rod Streater),6,9,-1.240,-0.670
4,9:19,1,10,RAV 26,Joe Flacco for 11 yards (tackle by Jamie Collins),6,9,0.670,1.400
4,8:45,1,10,RAV 37,Javorius Allen left guard for no gain (tackle by Jamie Collins),6,9,1.400,0.860
4,8:22,2,10,RAV 37,Javorius Allen right end for no gain (tackle by Jamie Collins),6,9,0.860,0.170
4,7:42,3,10,RAV 37,Joe Flacco pass incomplete deep left intended for John Brown (defended by Denzel Ward),6,9,0.170,-0.910
4,7:35,4,10,RAV 37,Sam Koch punts 49 yards fair catch by Jabrill Peppers,6,9,-0.910,0.280
4,7:28,1,10,CLE 14,Carlos Hyde left end for 2 yards (tackle by Matt Judon),6,9,-0.280,-0.510
4,6:54,2,8,CLE 16,Baker Mayfield pass complete short right to Antonio Callaway for 9 yards (tackle by Tavon Young),6,9,-0.510,0.610
4,6:16,1,10,CLE 25,Carlos Hyde right tackle for -1 yards (tackle by Eric Weddle). Penalty on Antonio Callaway: Illegal Block Above the Waist 10 yards (no play),6,9,0.610,-0.410
4,5:53,1,20,CLE 15,Baker Mayfield pass complete short middle to David Njoku for 8 yards (tackle by Za'Darius Smith and C.J. Mosley),6,9,-0.410,-0.210
4,5:14,2,12,CLE 23,Carlos Hyde right tackle for no gain (tackle by C.J. Mosley). Penalty on Chris Hubbard: Offensive Holding (Declined),6,9,-0.210,-0.890
4,4:45,3,12,CLE 23,Baker Mayfield pass incomplete short middle intended for Derrick Willies (defended by Anthony Levine),6,9,-0.890,-1.830
4,4:39,4,12,CLE 23,Britton Colquitt punts 44 yards returned by Tim White for 25 yards (tackle by Genard Avery). Penalty on Kenny Young: Illegal Block Above the Waist 10 yards,6,9,-1.830,-1.200
4,4:29,1,10,RAV 34,Joe Flacco pass complete short left to Michael Crabtree for 6 yards (tackle by E.J. Gaines),6,9,1.200,1.470
4,4:06,2,4,RAV 40,Joe Flacco pass complete deep left to Michael Crabtree for 19 yards (tackle by E.J. Gaines),6,9,1.470,2.850
4,3:38,1,10,CLE 41,Joe Flacco pass complete short middle to Javorius Allen for 7 yards (tackle by Genard Avery),6,9,2.850,3.250
4,3:15,2,3,CLE 34,Joe Flacco pass complete short left to Willie Snead for 7 yards (tackle by T.J. Carrie),6,9,3.250,3.780
4,2:35,1,10,CLE 27,Alex Collins right end for -3 yards (tackle by Jamie Collins and Emmanuel Ogbah),6,9,3.780,2.830
4,2:00,2,13,CLE 30,Joe Flacco pass incomplete short right intended for John Brown,6,9,2.830,2.150
4,1:55,3,13,CLE 30,Joe Flacco pass complete short right to Javorius Allen for 16 yards (tackle by Damarious Randall),6,9,2.150,4.650
4,1:09,1,10,CLE 14,Joe Flacco pass incomplete short middle intended for John Brown,6,9,4.650,4.000
4,1:05,2,10,CLE 14,Joe Flacco pass incomplete short right intended for Alex Collins,6,9,4.000,3.110
4,1:00,,,,Timeout #1 by Baltimore Ravens,6,9,,
4,1:00,3,10,CLE 14,Joe Flacco pass incomplete short middle intended for Michael Crabtree,6,9,3.110,2.510
4,0:56,4,10,CLE 14,Justin Tucker 32 yard field goal good,9,9,2.510,3.000
4,0:52,,,RAV 35,Justin Tucker kicks off 65 yards touchback,9,9,0.000,-0.610
4,0:52,1,10,CLE 25,Baker Mayfield pass complete short right to Derrick Willies for 13 yards (tackle by Marlon Humphrey). Derrick Willies fumbles (forced by Marlon Humphrey) ball out of bounds at CLE-38,9,9,0.610,1.470
4,0:48,1,10,CLE 38,Baker Mayfield pass incomplete short right intended for David Njoku,9,9,1.470,0.920
4,0:44,2,10,CLE 38,Baker Mayfield pass complete short right to David Njoku for 8 yards (tackle by Marlon Humphrey),9,9,0.920,1.290
4,0:38,,,,Timeout #2 by Cleveland Browns,9,9,,
4,0:38,3,2,CLE 46,Baker Mayfield pass complete short left to Jarvis Landry for 17 yards (tackle by Eric Weddle),9,9,1.290,3.120
4,0:17,1,10,RAV 37,Baker Mayfield spiked the ball,9,9,3.120,2.570
4,0:16,2,10,RAV 37,Baker Mayfield pass incomplete short left intended for David Njoku (defended by Anthony Levine),9,9,2.570,1.880
4,0:12,3,10,RAV 37,Baker Mayfield pass incomplete short right intended for Jarvis Landry (defended by Matt Judon),9,9,1.880,0.790
4,0:09,4,10,RAV 37,Greg Joseph 55 yard field goal no good,9,9,0.790,-1.930
