Quarter,Time,Down,ToGo,Location,Detail,DEN,NYJ,EPB,EPA
3,3:42,3,5,DEN 30,Case Keenum pass complete short right to Courtland Sutton for 47 yards (tackle by Jamal Adams). Penalty on Courtland Sutton: Offensive Pass Interference 10 yards (no play),10,24,0.040,-1.290
3,3:13,3,15,DEN 20,Case Keenum pass complete short left to Phillip Lindsay for 10 yards (tackle by Avery Williamson),10,24,-1.290,-1.370
3,2:44,4,5,DEN 30,Colby Wadman punts 45 yards returned by Andre Roberts for 10 yards (tackle by Andy Janovich). Penalty on Joseph Jones: Ineligible Downfield Kick 5 yards,10,24,-1.370,-1.600
3,2:34,1,10,NYJ 40,Sam Darnold pass incomplete short left intended for Quincy Enunwa (defended by Chris Harris),10,24,1.600,1.050
3,2:28,2,10,NYJ 40,Isaiah Crowell right guard for 5 yards (tackle by Domata Peko),10,24,1.050,1.030
3,1:48,3,5,NYJ 45,Sam Darnold pass complete short left to Andre Roberts for 4 yards (tackle by Isaac Yiadom),10,24,1.030,-0.130
3,1:09,4,1,NYJ 49,Lac Edwards punts 46 yards fair catch by DaeSean Hamilton,10,24,-0.130,0.380
3,0:58,1,10,DEN 5,Case Keenum pass incomplete short left intended for Courtland Sutton,10,24,-0.380,-0.780
3,0:54,2,10,DEN 5,Phillip Lindsay middle for no gain (tackle by Frankie Luvu),10,24,-0.780,-1.420
3,0:13,3,10,DEN 5,Case Keenum pass incomplete short middle intended for Devontae Booker,10,24,-1.420,-2.490
3,0:07,4,10,DEN 5,Colby Wadman punts 57 yards returned by Andre Roberts for 51 yards (tackle by Joseph Jones),10,24,-2.490,-4.840
4,15:00,1,10,DEN 11,Bilal Powell right end for 4 yards (tackle by Zach Kerr and Chris Harris),10,24,4.840,4.890
4,14:20,2,6,DEN 7,Bilal Powell middle for 4 yards (tackle by Todd Davis),10,24,4.890,4.890
4,13:44,,,,Timeout #1 by New York Jets,10,24,,
4,13:44,3,2,DEN 3,Sam Darnold sacked by Derek Wolfe and Domata Peko for -9 yards,10,24,4.890,2.630
4,13:02,4,11,DEN 12,Jason Myers 30 yard field goal good,10,27,2.630,3.000
4,12:59,,,NYJ 35,Jason Myers kicks off 65 yards touchback,10,27,0.000,-0.610
4,12:59,1,10,DEN 25,Royce Freeman right tackle for 24 yards (tackle by Marcus Maye),10,27,0.610,2.190
4,12:34,1,10,DEN 49,Case Keenum pass complete short middle to Emmanuel Sanders for 13 yards (tackle by Marcus Maye),10,27,2.190,3.050
4,12:12,1,10,NYJ 38,Case Keenum pass complete short middle to Matt LaCosse for 8 yards (tackle by Avery Williamson and Marcus Maye),10,27,3.050,3.590
4,11:50,2,2,NYJ 30,Case Keenum pass complete short left to Emmanuel Sanders for 6 yards (tackle by Darron Lee),10,27,3.590,3.970
4,11:29,1,10,NYJ 24,Case Keenum pass complete short middle to Royce Freeman for 5 yards (tackle by Darron Lee),10,27,3.970,4.120
4,10:50,2,5,NYJ 19,Phillip Lindsay middle for 6 yards (tackle by Avery Williamson),10,27,4.120,4.710
4,10:25,1,10,NYJ 13,Case Keenum pass incomplete short left intended for Courtland Sutton,10,27,4.710,4.050
4,10:20,2,10,NYJ 13,Case Keenum pass complete short right to Emmanuel Sanders for 4 yards (tackle by Parry Nickerson),10,27,4.050,3.880
4,9:44,3,6,NYJ 9,Case Keenum pass complete short right to Phillip Lindsay for 3 yards (tackle by Jamal Adams),10,27,3.880,3.010
