Quarter,Time,Down,ToGo,Location,Detail,CLE,HOU,EPB,EPA
4,5:03,3,1,CLE 34,Baker Mayfield pass complete short right to Rashard Higgins for 5 yards (tackle by Aaron Colvin),7,29,0.560,1.530
4,4:38,1,10,CLE 39,Baker Mayfield pass complete short middle to Jarvis Landry for 5 yards (tackle by Aaron Colvin),7,29,1.530,1.660
4,4:10,2,5,CLE 44,Baker Mayfield pass complete short left to Antonio Callaway for 7 yards (tackle by Kareem Jackson),7,29,1.660,2.320
4,4:04,1,10,HTX 49,Baker Mayfield pass complete short left to Dontrell Hilliard for 4 yards (tackle by Jadeveon Clowney),7,29,2.320,2.320
4,3:37,2,6,HTX 45,Baker Mayfield pass complete short right to Breshad Perriman for 7 yards (tackle by Kareem Jackson),7,29,2.320,3.050
4,3:32,1,10,HTX 38,Baker Mayfield pass complete deep left to Rashard Higgins for 21 yards (tackle by Dylan Cole),7,29,3.050,4.440
4,3:05,1,10,HTX 17,Baker Mayfield pass complete deep right to Rashard Higgins for 17 yards touchdown,13,29,4.440,7.000
4,2:58,,,HTX 2,Two Point Attempt: Baker Mayfield pass complete to Antonio Callaway conversion fails,13,29,0.000,-1.000
4,2:58,,,CLE 35,Greg Joseph kicks onside 11 yards recovered by Darren Fells (onside kick successful). Penalty on Darren Fells: Offside on Free Kick 5 yards (no play),13,29,0.000,0.000
4,2:58,,,CLE 30,Greg Joseph kicks onside 8 yards recovered by Justin Reid,13,29,0.000,-3.050
4,2:57,1,10,CLE 38,Alfred Blue left guard for 2 yards (tackle by Myles Garrett and Trevon Coley),13,29,3.050,2.780
4,2:51,,,,Timeout #3 by Cleveland Browns,13,29,,
4,2:51,2,8,CLE 36,Alfred Blue right tackle for 2 yards (tackle by Trevon Coley),13,29,2.780,2.340
4,2:07,3,6,CLE 34,Alfred Blue right tackle for 5 yards (tackle by Tanner Vallejo and Jabrill Peppers),13,29,2.340,1.620
4,2:00,4,1,CLE 29,Alfred Blue left tackle for 29 yards. Penalty on Julie'n Davenport: Offensive Holding 10 yards (no play),13,29,1.620,0.660
4,1:53,4,11,CLE 39,Trevor Daniel punts 33 yards fair catch by Jabrill Peppers,13,29,0.660,0.380
4,1:45,1,10,CLE 6,Baker Mayfield pass complete short middle to Dontrell Hilliard for 9 yards (tackle by Aaron Colvin),13,29,-0.380,-0.070
4,1:21,2,1,CLE 15,Baker Mayfield pass complete deep middle to Breshad Perriman for 19 yards (tackle by Andre Hal),13,29,-0.070,1.200
4,0:55,1,10,CLE 34,Baker Mayfield pass complete short right to Dontrell Hilliard for 23 yards (tackle by Aaron Colvin),13,29,1.200,2.720
4,0:31,1,10,HTX 43,Baker Mayfield spiked the ball,13,29,2.720,2.180
4,0:31,2,10,HTX 43,Baker Mayfield pass complete short middle to Dontrell Hilliard for 4 yards (tackle by Brian Peters),13,29,2.180,2.010
4,0:15,3,6,HTX 39,Baker Mayfield spiked the ball,13,29,2.010,0.660
4,0:15,4,6,HTX 39,Baker Mayfield pass complete short middle to Damion Ratley for 2 yards (tackle by Aaron Colvin),13,29,0.660,-1.400
4,0:08,1,10,HTX 37,Deshaun Watson kneels for -1 yards,13,29,1.400,0.720
