Quarter,Time,Down,ToGo,Location,Detail,IND,NYJ,EPB,EPA
4,3:48,1,10,CLT 17,Bilal Powell right end for -2 yards (tackle by Al-Quadin Muhammad),27,39,4.440,3.600
4,3:42,,,,Timeout #1 by Indianapolis Colts,27,39,,
4,3:42,2,12,CLT 19,Bilal Powell middle for 2 yards (tackle by Nate Hairston),27,39,3.600,3.070
4,3:36,,,,Timeout #2 by Indianapolis Colts,27,39,,
4,3:35,3,10,CLT 17,Bilal Powell left guard for 8 yards (tackle by Matthew Adams). Penalty on Spencer Long: Offensive Holding 10 yards (no play),27,39,3.070,1.880
4,3:28,3,20,CLT 27,Bilal Powell left guard for no gain (tackle by Al-Quadin Muhammad and Anthony Walker),27,39,1.880,1.670
4,3:22,,,,Timeout #3 by Indianapolis Colts,27,39,,
4,3:22,4,20,CLT 27,Jason Myers 45 yard field goal good,27,42,1.670,3.000
4,3:19,,,NYJ 35,Jason Myers kicks off 51 yards returned by Marcus Johnson for 23 yards,27,42,0.000,-1.400
4,3:10,1,10,CLT 37,Nyheim Hines right guard for 2 yards (tackle by Darron Lee),27,42,1.400,1.130
4,2:49,2,8,CLT 39,Andrew Luck pass incomplete deep middle intended for Erik Swoope (defended by Jamal Adams),27,42,1.130,0.430
4,2:44,3,8,CLT 39,Andrew Luck pass complete short left to Zach Pascal for 15 yards,27,42,0.430,2.520
4,2:39,1,10,NYJ 46,Andrew Luck pass incomplete deep middle intended for Eric Ebron,27,42,2.520,1.980
4,2:35,2,10,NYJ 46,Andrew Luck pass incomplete short right intended for Chester Rogers (defended by Darryl Roberts),27,42,1.980,1.290
4,2:30,3,10,NYJ 46,Andrew Luck pass complete deep middle to Eric Ebron for 19 yards (tackle by Jamal Adams),27,42,1.290,3.780
4,2:09,1,10,NYJ 27,Andrew Luck pass complete short middle to Nyheim Hines for 10 yards (tackle by Avery Williamson),27,42,3.780,4.440
4,2:00,1,10,NYJ 17,Andrew Luck pass complete short middle to Chester Rogers for 17 yards touchdown,33,42,4.440,7.000
4,1:51,,,NYJ 15,Adam Vinatieri kicks extra point good,34,42,0.000,0.000
4,1:51,,,CLT 35,Rigoberto Sanchez kicks onside 8 yards recovered by Neal Sterling,34,42,0.000,-2.720
4,1:50,1,10,CLT 43,Sam Darnold kneels for -1 yards,34,42,2.720,2.040
4,1:11,2,11,CLT 44,Sam Darnold kneels for -1 yards,34,42,2.040,1.220
4,0:32,3,12,CLT 45,Sam Darnold kneels for -1 yards,34,42,1.220,0.200
