Quarter,Time,Down,ToGo,Location,Detail,CLE,TAM,EPB,EPA
OT,6:15,1,10,TAM 45,Nick Chubb right guard for no gain (tackle by Vita Vea and M.J. Stewart),23,23,2.590,2.040
OT,5:41,2,10,TAM 45,Baker Mayfield pass complete short right to David Njoku for 7 yards (tackle by Lavonte David),23,23,2.040,2.280
OT,4:58,3,3,TAM 38,Baker Mayfield sacked by Carl Nassib for -7 yards,23,23,2.280,0.270
OT,4:18,4,10,TAM 45,Britton Colquitt punts 45 yards touchback,23,23,0.270,-0.280
OT,4:11,1,10,TAM 20,Jacquizz Rodgers middle for 2 yards (tackle by Genard Avery),23,23,0.280,0.000
OT,3:36,2,8,TAM 22,Jameis Winston pass incomplete short right intended for Adam Humphries,23,23,0.000,-0.690
OT,3:32,3,8,TAM 22,Jameis Winston pass incomplete short right intended for Cameron Brate,23,23,-0.690,-1.900
OT,3:27,4,8,TAM 22,Bryan Anger punts 54 yards returned by Jabrill Peppers for 14 yards (tackle by Antony Auclair). Jabrill Peppers fumbles (forced by Antony Auclair) recovered by Isaiah Johnson at CLE-48,23,23,-1.900,2.390
OT,3:12,1,10,CLE 48,Jameis Winston pass incomplete deep left intended for Mike Evans,23,23,2.390,1.850
OT,3:07,2,10,CLE 48,Jameis Winston pass complete short left to Mike Evans for 7 yards (tackle by Damarious Randall),23,23,1.850,2.080
OT,3:02,3,3,CLE 41,Penalty on Genard Avery: Neutral Zone Infraction 5 yards (no play),23,23,2.080,3.180
OT,3:02,1,10,CLE 36,Jameis Winston sacked by Myles Garrett for -12 yards,23,23,3.180,1.020
OT,2:15,,,,Timeout #1 by Tampa Bay Buccaneers,23,23,,
OT,2:15,2,22,CLE 48,Jameis Winston sacked by Larry Ogunjobi and Emmanuel Ogbah for -7 yards,23,23,1.020,-0.560
OT,2:00,3,29,TAM 45,Jameis Winston pass complete short right to DeSean Jackson for 14 yards (tackle by Briean Boddy-Calhoun),23,23,-0.560,0.530
OT,1:55,,,,Timeout #2 by Tampa Bay Buccaneers,23,23,,
OT,1:55,4,15,CLE 41,Chandler Catanzaro 59 yard field goal good,23,26,0.530,3.000
