Quarter,Time,Down,ToGo,Location,Detail,KAN,CLE,EPB,EPA
4,9:16,1,10,CLE 30,Nick Chubb right guard for 17 yards (tackle by Ron Parker and Eric Murray),37,21,0.940,2.060
4,8:46,1,10,CLE 47,Baker Mayfield pass incomplete deep left intended for Breshad Perriman,37,21,2.060,1.520
4,8:41,2,10,CLE 47,Baker Mayfield pass incomplete short left intended for Dontrell Hilliard,37,21,1.520,0.830
4,8:36,3,10,CLE 47,Baker Mayfield pass complete short right to Rashard Higgins for 8 yards (tackle by Steven Nelson),37,21,0.830,0.270
4,7:55,,,,Timeout #2 by Cleveland Browns,37,21,,
4,7:55,4,2,KAN 45,Baker Mayfield pass complete short left to Duke Johnson for -1 yards (tackle by Breeland Speaks),37,21,0.270,-1.990
4,7:47,1,10,KAN 46,Patrick Mahomes pass complete short right to Travis Kelce for 18 yards (tackle by Derrick Kindred),37,21,1.990,3.180
4,7:05,1,10,CLE 36,Kareem Hunt right end for 13 yards (tackle by Jamie Collins and Jabrill Peppers),37,21,3.180,4.040
4,6:18,1,10,CLE 23,Kareem Hunt right guard for -1 yards (tackle by Larry Ogunjobi),37,21,4.040,3.360
4,5:37,2,11,CLE 24,Patrick Mahomes pass incomplete short right intended for Kareem Hunt,37,21,3.360,2.680
4,5:30,3,11,CLE 24,Patrick Mahomes sacked by Myles Garrett for -13 yards,37,21,2.680,0.790
4,5:22,,,,Timeout #3 by Cleveland Browns,37,21,,
4,5:22,4,24,CLE 37,Dustin Colquitt punts 21 yards returned by Jabrill Peppers for 1 yard (tackle by Charvarius Ward),37,21,0.790,0.060
4,5:14,1,10,CLE 17,Baker Mayfield pass complete short left to David Njoku for 14 yards (tackle by Ron Parker),37,21,-0.060,1.000
4,4:46,1,10,CLE 31,Baker Mayfield pass complete deep left to Antonio Callaway for 38 yards (tackle by Steven Nelson),37,21,1.000,3.510
4,4:39,1,10,KAN 31,Baker Mayfield pass incomplete short left intended for Seth Devalve is intercepted by Steven Nelson at KAN-17 and returned for 18 yards,37,21,3.510,-1.270
4,4:29,1,10,KAN 35,Kareem Hunt right guard for 3 yards (tackle by Tanner Vallejo),37,21,1.270,1.130
4,3:43,2,7,KAN 38,Kareem Hunt right guard for 6 yards (tackle by Emmanuel Ogbah and Trevon Coley),37,21,1.130,1.220
4,2:57,3,1,KAN 44,Kareem Hunt right guard for 2 yards (tackle by Genard Avery),37,21,1.220,1.990
4,2:14,1,10,KAN 46,Kareem Hunt right guard for no gain (tackle by Tanner Vallejo and Jamie Collins),37,21,1.990,1.450
4,2:00,2,10,KAN 46,Kareem Hunt right guard for 3 yards (tackle by Larry Ogunjobi),37,21,1.450,1.160
4,1:15,3,7,KAN 49,Spencer Ware right guard for 1 yard (tackle by Emmanuel Ogbah),37,21,1.160,-0.060
4,0:31,4,6,50,Dustin Colquitt punts 42 yards fair catch by Jabrill Peppers. Penalty on Damion Ratley: Defensive Offside (Declined),37,21,-0.060,0.380
4,0:24,1,10,CLE 8,Baker Mayfield pass complete short right to Damion Ratley for 9 yards (tackle by Dorian O'Daniel),37,21,-0.380,0.050
