Quarter,Time,Down,ToGo,Location,Detail,NYJ,CLE,EPB,EPA
3,10:02,2,10,CLE 35,Baker Mayfield pass complete short right to Rashard Higgins for 5 yards (tackle by Trumaine Johnson),14,3,0.720,0.700
3,9:30,3,5,CLE 40,Baker Mayfield pass complete short right to Duke Johnson for 9 yards (tackle by Frankie Luvu). Penalty on Parry Nickerson: Defensive Holding (Declined),14,3,0.700,2.190
3,9:08,1,10,CLE 49,Duke Johnson left tackle for 1 yard (tackle by Frankie Luvu),14,3,2.190,1.780
3,8:22,2,9,50,Baker Mayfield pass incomplete deep right intended for Orson Charles,14,3,1.780,1.090
3,8:13,3,9,50,Baker Mayfield pass complete short middle to Antonio Callaway for 5 yards (tackle by J.J. Wilcox),14,3,1.090,0.270
3,7:41,4,4,NYJ 45,Britton Colquitt punts 33 yards out of bounds,14,3,0.270,0.350
3,7:35,1,10,NYJ 12,Penalty on James Carpenter: False Start 5 yards (no play),14,3,-0.350,-0.570
3,7:35,1,15,NYJ 7,Bilal Powell left tackle for 7 yards (tackle by Damarious Randall),14,3,-0.570,-0.610
3,6:54,2,8,NYJ 14,Penalty on Eric Tomlinson: False Start 5 yards (no play),14,3,-0.610,-1.000
3,6:31,2,13,NYJ 9,Sam Darnold pass complete short right to Robby Anderson for 17 yards (tackle by Denzel Ward). Robby Anderson fumbles (forced by Denzel Ward) recovered by Denzel Ward at NYJ-28 and returned for 20 yards (tackle by Robby Anderson),14,3,-1.000,-5.370
3,6:19,1,8,NYJ 8,Carlos Hyde right guard for no gain (tackle by Avery Williamson),14,3,5.370,4.570
3,5:35,2,8,NYJ 8,Baker Mayfield pass incomplete short right intended for Carlos Hyde,14,3,4.570,3.580
3,5:29,3,8,NYJ 8,Baker Mayfield pass incomplete short middle intended for Jarvis Landry (defended by Doug Middleton),14,3,3.580,2.950
3,5:24,4,8,NYJ 8,Greg Joseph 27 yard field goal good,14,6,2.950,3.000
3,5:21,,,CLE 35,Greg Joseph kicks off 67 yards returned by Andre Roberts for 36 yards (tackle by E.J. Gaines). Penalty on Christopher Herndon: Offensive Holding 10 yards,14,6,0.000,0.380
3,5:13,1,10,NYJ 10,Sam Darnold pass complete short left to Eric Tomlinson for 14 yards (tackle by Larry Ogunjobi),14,6,-0.380,0.540
3,4:29,1,10,NYJ 24,Isaiah Crowell left guard for 3 yards (tackle by Trevon Coley and Larry Ogunjobi),14,6,0.540,0.400
3,3:50,2,7,NYJ 27,Sam Darnold pass incomplete short right intended for Quincy Enunwa (defended by T.J. Carrie),14,6,0.400,-0.300
3,3:45,3,7,NYJ 27,Sam Darnold pass incomplete short right intended for Quincy Enunwa (defended by Genard Avery),14,6,-0.300,-1.570
3,3:41,4,7,NYJ 27,Lac Edwards punts 50 yards returned by Jarvis Landry for 8 yards (tackle by Terrence Brooks),14,6,-1.570,-1.000
3,3:31,1,10,CLE 31,Baker Mayfield pass complete short right to Rashard Higgins for 8 yards,14,6,1.000,1.540
3,3:09,2,2,CLE 39,Carlos Hyde left end for 1 yard (tackle by Steve McLendon and Darron Lee),14,6,1.540,0.960
3,2:34,3,1,CLE 40,Baker Mayfield pass complete short left to Jarvis Landry for 16 yards (tackle by Morris Claiborne). Penalty on Morris Claiborne: Defensive Holding (Declined),14,6,0.960,2.650
3,2:09,1,10,NYJ 44,Carlos Hyde right guard for 11 yards (tackle by Morris Claiborne),14,6,2.650,3.380
3,1:50,1,10,NYJ 33,Baker Mayfield pass complete short right to Antonio Callaway for 3 yards (tackle by Trumaine Johnson),14,6,3.380,3.240
3,1:19,2,7,NYJ 30,Baker Mayfield pass complete deep right to Jarvis Landry for 29 yards (tackle by Doug Middleton),14,6,3.240,6.970
3,0:47,1,1,NYJ 1,Carlos Hyde right tackle for 1 yard touchdown,14,12,6.970,7.000
3,0:42,,,NYJ 2,Two Point Attempt: Baker Mayfield conversion fails. Penalty on Morris Claiborne: Defensive Holding (Offsetting) Penalty on Desmond Harrison: Offensive Holding (Offsetting) (no play),14,12,0.000,0.000
3,0:42,,,CLE 2,Two Point Attempt: Jarvis Landry pass complete to Baker Mayfield conversion succeeds,14,14,0.000,1.000
3,0:42,,,CLE 35,Greg Joseph kicks off 65 yards touchback,14,14,0.000,-0.610
3,0:42,1,10,NYJ 25,Bilal Powell right tackle for 9 yards (tackle by Denzel Ward),14,14,0.610,1.280
4,15:00,2,1,NYJ 34,Bilal Powell right guard for 21 yards (tackle by Damarious Randall),14,14,1.280,2.590
4,14:26,1,10,CLE 45,Bilal Powell right guard for no gain (tackle by Larry Ogunjobi and Joe Schobert),14,14,2.590,2.040
4,13:45,2,10,CLE 45,Sam Darnold pass incomplete short right intended for Jordan Leggett,14,14,2.040,1.360
4,13:35,3,10,CLE 45,Sam Darnold pass complete short right to Jermaine Kearse for 14 yards (tackle by Denzel Ward),14,14,1.360,3.510
4,13:02,1,10,CLE 31,Isaiah Crowell left end for 4 yards (tackle by Joe Schobert and Terrance Mitchell),14,14,3.510,3.510
4,12:19,2,6,CLE 27,Isaiah Crowell left end for -1 yards (tackle by Genard Avery),14,14,3.510,2.680
4,11:47,3,7,CLE 28,Sam Darnold pass complete short right to Quincy Enunwa for 11 yards (tackle by Derrick Kindred),14,14,2.680,4.440
4,11:05,1,10,CLE 17,Bilal Powell right guard for no gain (tackle by Larry Ogunjobi and T.J. Carrie),14,14,4.440,3.850
4,10:24,2,10,CLE 17,Bilal Powell right guard for -2 yards (tackle by Chris Smith),14,14,3.850,2.910
4,9:42,3,12,CLE 19,Sam Darnold pass complete short middle to Jermaine Kearse for 9 yards (tackle by Derrick Kindred),14,14,2.910,2.860
4,8:58,4,3,CLE 10,Jason Myers 28 yard field goal good,17,14,2.860,3.000
4,8:56,,,NYJ 35,Jason Myers kicks off 65 yards touchback,17,14,0.000,-0.610
4,8:56,1,10,CLE 25,Baker Mayfield pass incomplete deep left intended for Antonio Callaway,17,14,0.610,0.060
4,8:50,2,10,CLE 25,Carlos Hyde left guard for 10 yards (tackle by Avery Williamson and Doug Middleton),17,14,0.060,1.270
4,8:13,1,10,CLE 35,Baker Mayfield pass complete short right to Jarvis Landry for 4 yards (tackle by Morris Claiborne),17,14,1.270,1.260
4,7:35,2,6,CLE 39,Carlos Hyde right guard for 1 yard (tackle by Jamal Adams and Avery Williamson),17,14,1.260,0.700
4,6:53,3,5,CLE 40,Baker Mayfield pass complete short right to Duke Johnson for 15 yards (tackle by Trumaine Johnson and Avery Williamson). Duke Johnson fumbles (forced by Trumaine Johnson) recovered by Rashard Higgins at NYJ-45,17,14,0.700,2.590
4,6:11,1,10,NYJ 45,Baker Mayfield pass complete deep right to Rashard Higgins for 19 yards (tackle by Doug Middleton),17,14,2.590,3.840
4,5:45,1,10,NYJ 26,Baker Mayfield pass incomplete short left intended for Jarvis Landry,17,14,3.840,3.300
4,5:39,2,10,NYJ 26,Carlos Hyde left guard for no gain (tackle by Henry Anderson and Darron Lee),17,14,3.300,2.610
